ekatte,t_v_m,name,oblast,obstina,kmetstvo,kind,category,altitude,document,tsb,abc
00000,,????????? ???: 28.4.2015 ?.?.,,,,,,,,,
00014,?.,????????,BLG,BLG52,BLG52-01,3,5,6,1873,01,1
00028,?.,????????,LOV,LOV18,LOV18-00,3,7,5,1873,10,2
00881,?.,????????,PAZ,PAZ08,PAZ08-01,3,7,8,1873,12,3
00031,?.,?????,DOB,DOB20,DOB20-00,3,7,3,1873,24,4
00059,?.,????????,BLG,BLG53,BLG53-01,3,5,7,1873,01,5
00062,?.,????????,KRZ,KRZ02,KRZ02-00,3,8,6,1873,08,6
00084,?.,?????,VAR,VAR01,VAR01-00,3,5,4,1873,03,7
00093,?.,?????,KRZ,KRZ15,KRZ15-01,3,6,6,1873,08,8
00103,?.,???????,GAB,GAB29,GAB29-01,3,7,5,1873,07,9
00117,?.,????????,GAB,GAB35,GAB35-00,3,8,6,1873,07,10
00895,?.,???????,SLS,SLS31,SLS31-01,3,4,1,1873,18,11
00148,?.,??????,KRZ,KRZ16,KRZ16-23,3,5,4,1873,08,12
00151,??.,?????,BGS,BGS01,BGS01-00,1,2,2,1873,02,13
00165,?.,??????????,PAZ,PAZ04,PAZ04-07,3,6,4,1873,12,14
00179,?.,????????,VID,VID09,VID09-00,3,8,5,1873,05,15
00182,??.,????????,VAR,VAR02,VAR02-00,1,3,3,1873,03,16
00196,?.,????????,SML,SML11,SML11-01,3,7,7,1873,20,17
00206,?.,???????,KRZ,KRZ08,KRZ08-00,3,8,5,1873,08,18
00215,?.,????????,TGV,TGV35,TGV35-00,3,7,3,1873,25,19
00223,?.,???????????,SFO,SFO45,SFO45-01,3,5,6,1873,22,20
00254,?.,????? ?????????????,PAZ,PAZ19,PAZ19-01,3,5,4,1873,12,21
00237,?.,???????,VTR,VTR28,VTR28-01,3,6,2,1873,04,22
00240,?.,???????,SLS,SLS01,SLS01-01,3,6,4,1873,18,23
00268,?.,???????????,DOB,DOB20,DOB20-00,3,8,3,1873,24,24
00271,?.,????????????,BGS,BGS17,BGS17-00,3,7,2,1873,02,25
00285,?.,????????????,VTR,VTR28,VTR28-00,3,7,2,1873,04,26
00299,?.,????????????,LOV,LOV18,LOV18-02,3,5,3,1873,10,27
00309,?.,????????????,SZR,SZR24,SZR24-01,3,5,5,1873,23,28
00312,?.,????????????,TGV,TGV35,TGV35-00,3,7,5,1873,25,29
00326,?.,????????????,HKV,HKV34,HKV34-00,3,7,4,1873,26,30
00330,?.,????????????,SHU,SHU25,SHU25-00,3,8,4,1873,27,31
00343,?.,????????????,JAM,JAM22,JAM22-00,3,7,3,1873,28,32
00360,?.,?????????? ????????????,DOB,DOB12,DOB12-00,3,8,2,1873,24,33
83421,?.,??????????,PAZ,PAZ08,PAZ08-14,3,7,8,1873,12,34
00388,?.,?????????,SML,SML31,SML31-01,3,8,8,1873,20,35
00391,?.,?????,SFO,SFO39,SFO39-00,3,7,7,1873,22,36
00401,?.,???????,VRC,VRC08,VRC08-01,3,6,2,1873,06,37
00415,??.,???????,SLS,SLS01,SLS01-00,1,4,3,1873,18,38
00429,?.,?????,DOB,DOB15,DOB15-02,3,7,4,1873,24,39
00446,?.,????? ???????,HKV,HKV19,HKV19-01,3,6,5,1873,26,40
00432,?.,?????????,DOB,DOB27,DOB27-00,3,7,4,1873,24,41
00456,?.,???????,GAB,GAB05,GAB05-00,3,8,6,1873,07,42
00480,?.,?????,PDV,PDV43,PDV43-01,3,5,5,1873,15,43
00494,?.,????????,SLS,SLS34,SLS34-00,3,8,3,1873,18,44
00919,?.,????????,VID,VID09,VID09-02,3,6,1,1873,05,45
00504,?.,?????,SFO,SFO54,SFO54-00,3,5,7,1873,22,46
00518,??.,????????,TGV,TGV02,TGV02-00,1,4,5,1873,25,47
00521,?.,??????,VTR,VTR13,VTR13-00,3,8,6,1873,04,48
00549,?.,????????,SFO,SFO10,SFO10-01,3,5,6,1873,22,49
00552,?.,????????,SZR,SZR07,SZR07-00,3,7,3,1873,23,50
00566,?.,????????,TGV,TGV24,TGV24-01,3,7,4,1873,25,51
00571,?.,???????,PAZ,PAZ19,PAZ19-02,3,6,4,1873,12,52
00905,?.,???????,KRZ,KRZ14,KRZ14-46,3,7,5,1873,08,53
52218,??.,???????,LOV,LOV02,LOV02-00,1,4,6,1873,10,54
00583,?.,????????,VTR,VTR04,VTR04-00,3,4,5,1873,04,55
00597,?.,????,SML,SML31,SML31-01,3,6,8,1873,20,56
00607,??.,??????,KRZ,KRZ02,KRZ02-00,1,3,6,1873,08,57
00610,?.,?????,PER,PER08,PER08-00,3,8,7,1873,13,58
00624,?.,???????,VAR,VAR16,VAR16-00,3,8,2,1873,03,59
00638,?.,????????,GAB,GAB05,GAB05-00,3,8,5,1873,07,60
00641,?.,??????????,GAB,GAB35,GAB35-00,3,8,6,1873,07,61
00655,?.,?????????,SZR,SZR31,SZR31-00,3,7,4,1873,23,62
